node_id,dx_mm,dy_mm,dz_mm,total_mm
25134,0.0000028327,0.0001371647,0.0002804151,0.0003121775
25135,0.0000035712,0.0001333820,0.0002679718,0.0002993533
25136,0.0000045801,0.0001362956,0.0002722732,0.0003045163
25137,0.0000062188,0.0001361519,0.0002654784,0.0002984205
25138,0.0000050286,0.0001438962,0.0002885619,0.0003224894
25139,0.0000066575,0.0001471848,0.0002910705,0.0003262356
25140,0.0000081009,0.0001506612,0.0002937569,0.0003302386
25141,0.0000048085,0.0001484600,0.0003009309,0.0003355934
25142,0.0000030123,0.0001491096,0.0003088742,0.0003429956
25143,0.0000033443,0.0001446288,0.0002967974,0.0003301778
25144,0.0000020307,0.0001454011,0.0003042227,0.0003371899
25145,0.0000060071,0.0001519602,0.0003039950,0.0003399132
25146,0.0000042117,0.0001530034,0.0003130426,0.0003484587
25147,0.0000129873,0.0001432556,0.0002591632,0.0002964058
25148,0.0000107587,0.0001443588,0.0002690528,0.0003055235
25149,0.0000087189,0.0001458723,0.0002807288,0.0003164861
25150,0.0000072009,0.0001426656,0.0002783247,0.0003128418
25151,0.0000094825,0.0001410935,0.0002668503,0.0003020039
25152,0.0000125981,0.0001475204,0.0002704797,0.0003083508
25153,0.0000152526,0.0001453835,0.0002561306,0.0002949100
25154,0.0000102007,0.0001491299,0.0002823509,0.0003194774
25155,0.0001398242,-0.0000206584,-0.0003972589,0.0004216541
25156,0.0001408798,-0.0000159310,-0.0004012346,0.0004255469
25157,0.0001411456,-0.0000114339,-0.0004021897,0.0004263911
25158,0.0001407917,-0.0000071503,-0.0004003157,0.0004244126
25159,0.0001397666,-0.0000027097,-0.0003954067,0.0004193906
25160,0.0001377673,0.0000024585,-0.0003875293,0.0004112965
25161,0.0001355027,0.0000073516,-0.0003772880,0.0004009504
25162,0.0001318858,0.0000122307,-0.0003617845,0.0003852681
25163,0.0001275746,0.0000170589,-0.0003447953,0.0003680355
25164,0.0001233696,0.0000217545,-0.0003260697,0.0003493061
25165,0.0001184995,0.0000267747,-0.0003050303,0.0003283329
25166,0.0001128089,0.0000318681,-0.0002809616,0.0003044353
25167,0.0001070198,0.0000372370,-0.0002560176,0.0002799730
25168,0.0001010642,0.0000421117,-0.0002298678,0.0002546106
25169,0.0000947537,0.0000472868,-0.0002025059,0.0002285234
25170,0.0000876638,0.0000528355,-0.0001720135,0.0002001629
25171,0.0000810516,0.0000580848,-0.0001426805,0.0001740716
